City,State,Cost of Living Index,Cost Category
Abilene,TX,89.1,Low
Adrian,MI,90.5,Medium
Akron,OH,89.4,Low
Alamogordo,NM,85.8,Low
Albany,GA,87.3,Low
Albany,OR,105.4,High
Albany,NY,100.1,High
Albertville,AL,90.9,Medium
Albuquerque,NM,92.9,Medium
Alexandria,LA,86.2,Low
Allentown,PA,98.9,Medium
Altoona,PA,90.8,Medium
Amarillo,TX,88.2,Low
Ames,IA,91.5,Medium
Anchorage,AK,110.7,High
Ann Arbor,MI,99.3,Medium
Anniston,AL,85.7,Low
Appleton,WI,90.7,Medium
Asheville,NC,103.3,High
Ashtabula,OH,87.4,Low
Athens,OH,88.5,Low
Athens,TX,92.9,Medium
Athens,GA,95.0,Medium
Atlanta,GA,100.3,High
Atlantic City,NJ,102.0,High
Auburn,NY,93.7,Medium
Auburn,AL,91.9,Medium
Augusta,GA,91.6,Medium
Augusta,ME,100.0,High
Austin,TX,106.6,High
Bakersfield,CA,102.9,High
Baltimore,MD,107.0,High
Bangor,ME,98.0,Medium
Barnstable Town,MA,122.4,High
Baton Rouge,LA,91.1,Medium
Battle Creek,MI,85.9,Low
Bay City,MI,85.4,Low
Beaumont,TX,88.6,Low
Beaver Dam,WI,92.9,Medium
Beckley,WV,80.0,Low
Bellingham,WA,111.6,High
Bend,OR,115.9,High
Billings,MT,95.7,Medium
Binghamton,NY,93.3,Medium
Birmingham,AL,90.7,Medium
Bismarck,ND,93.1,Medium
Blacksburg,VA,94.5,Medium
Bloomington,IN,92.4,Medium
Bloomsburg,PA,93.2,Medium
Bluefield,WV,81.2,Low
Boise City,ID,100.3,High
Boston,MA,132.6,High
Boulder,CO,118.7,High
Bowling Green,KY,87.0,Low
Bozeman,MT,125.3,High
Brainerd,MN,97.9,Medium
Branson,MO,89.5,Low
Bremerton,WA,115.0,High
Brownsville,TX,87.8,Low
Brunswick,GA,94.4,Medium
Buffalo,NY,97.3,Medium
Burlington,NC,91.8,Medium
Burlington,VT,112.8,High
Canton,OH,88.2,Low
Cape Girardeau,MO,88.1,Low
Carbondale,IL,83.5,Low
Carson City,NV,103.0,High
Casper,WY,94.2,Medium
Cedar Rapids,IA,88.1,Low
Centralia,WA,103.3,High
Chambersburg,PA,95.7,Medium
Champaign,IL,89.0,Low
Charleston,WV,83.9,Low
Charleston,SC,101.7,High
Charlotte,NC,97.9,Medium
Charlottesville,VA,102.1,High
Chattanooga,TN,91.2,Medium
Cheyenne,WY,96.9,Medium
Chicago,IL,100.1,High
Chico,CA,110.5,High
Chillicothe,OH,89.8,Low
Cincinnati,OH,92.4,Medium
Claremont,NH,102.3,High
